latitude,longitude,elevation_m,cumulative_distance_km,segment_distance_km,slope_percent,arrival_timestamp,vehicle_speed_kmh,duration_hours,temperature,rainfall,wind_speed,cloud_cover,predicted_ghi,predicted_direct_radiation,predicted_dhi,predicted_dni,solar_timestamp,solar_latitude,solar_longitude,solar_vehicle_speed_kmh,solar_ghi_w_m2,solar_direct_radiation_w_m2,solar_dhi_w_m2,solar_dni_w_m2,solar_cloud_cover_percent,solar_ambient_temperature_c,solar_wind_speed_kmh,solar_solar_elevation_deg,solar_solar_azimuth_deg,solar_poa_irradiance_w_m2,solar_tilt_factor,solar_cloud_correction_factor,solar_effective_irradiance_w_m2,solar_cell_temperature_c,solar_temperature_derating_factor,solar_adjusted_panel_efficiency,solar_solar_power_w,solar_net_solar_power_w,solar_duration_hours,solar_solar_energy_wh,solar_solar_energy_kwh,solar_distance_km,elevation_gain_m,rolling_resistance_force_n,aerodynamic_drag_force_n,rolling_energy_wh,drag_energy_wh,elevation_energy_wh,temperature_energy_factor,energy_consumed_wh,net_energy_consumption_wh,battery_remaining_wh,battery_remaining_percent,cumulative_distance_km,average_net_energy_wh_per_km,remaining_range_km,weather_risk,cumulative_solar_energy_wh
10.57787,76.40825,119.0,100.01797251999075,10.014700140208376,1.0094144,2026-06-25 09:49:06.630928582,55.0,0.18208545,26.28,0.0,7.12,59.29505775983087,308.11,216.76299876809253,91.34700123190748,306.5491726784989,2026-06-25 09:49:06,10.57787,76.40825,55.0,308.11,216.76299876809253,91.34700123190748,306.5491726784989,59.29505775983087,26.28,7.12,57.04,62.91,348.557,1.13128,0.61458,214.217,31.194,0.97522,0.21455,91.92,87.324,0.18208545446395874,15.9,0.0159,10.015,101.0,147.09975,96.29371,454.679,297.63968,458.5517,1.0428,1262.6956,1246.7957,50825.297,84.70883,110.03267,83.38161,609.5505,0.1778851732794926,130.544
10.6031,76.49223,57.0,110.03267266019913,10.006162968897854,-0.6190899,2026-06-25 10:00:02.138574121,55.0,0.18193023,27.13,0.0,11.5,43.025792435769525,444.07,348.53768176523914,95.53231823476085,402.4566487797779,2026-06-25 10:00:02,10.6031,76.49223,55.0,444.07,348.53768176523914,95.53231823476085,402.4566487797779,43.025792435769525,27.13,11.5,59.5,61.371,442.302,0.99602,0.72033,318.604,34.211,0.96315,0.21189,135.021,128.27,0.18193022906780243,23.336,0.02334,10.006,0.0,147.09975,110.35152,454.29138,340.801,0.0,1.0513,835.8806,812.5446,50012.754,83.35459,120.03883,83.20013,601.11395,0.12907737730730856,153.88
10.64912,76.56288,62.0,120.03883562909698,9.981157985078681,0.049969204,2026-06-25 10:10:57.087422994,55.0,0.1814756,27.13,0.0,11.5,44.373722095007025,444.07,345.54480614635116,98.52519385364883,399.00077369134584,2026-06-25 10:10:57,10.64912,76.56288,55.0,444.07,345.54480614635116,98.52519385364883,399.00077369134584,44.373722095007025,27.13,11.5,61.917,59.54,450.551,1.0146,0.71157,320.599,34.274,0.96291,0.21184,135.831,129.039,0.18147559463977814,23.417,0.02342,9.981,5.0,147.09975,110.35152,453.15613,339.94937,22.700579,1.0513,857.6569,834.2399,49178.516,81.96419,130.01999,83.2294,590.8791,0.13312116628502108,177.297
10.72485,76.60673,82.0,130.01999361417566,9.987930370048758,0.20037755,2026-06-25 10:21:50.399582018,55.0,0.18159874,27.13,0.0,16.64,45.66813633219604,444.07,342.67075349480854,101.39924650519146,395.6821035472792,2026-06-25 10:21:50,10.72485,76.60673,55.0,444.07,342.67075349480854,101.39924650519146,395.6821035472792,45.66813633219604,27.13,16.64,64.273,57.379,457.858,1.03105,0.70316,321.946,33.031,0.96788,0.21293,137.106,130.25,0.1815987378358841,23.653,0.02365,9.988,20.0,147.09975,128.06964,453.4636,394.79956,90.802315,1.0513,987.23956,963.58655,48214.926,80.358215,140.00792,84.17433,572.79846,0.1370044089965881,200.95
10.76743,76.67854,98.0,140.00792398422442,9.995628818695366,0.16019335,2026-06-25 10:32:44.155024422,55.0,0.1817387,27.14,0.0,16.64,46.783897424351714,444.07,340.1933733538407,103.87662664615931,392.82147136473355,2026-06-25 10:32:44,10.76743,76.67854,55.0,444.07,340.1933733538407,103.87662664615931,392.82147136473355,46.783897424351714,27.14,16.64,66.575,54.618,464.323,1.04561,0.6959,323.125,33.078,0.96769,0.21289,137.581,130.702,0.1817387044429779,23.754,0.02375,9.996,16.0,147.09975,128.06964,453.8131,395.10385,72.64185,1.0514,968.92694,945.173,47269.754,78.78292,150.00356,84.866295,556.9909,0.14035169227305513,224.70399999999998
10.79935,76.75699,115.0,150.00355280291978,10.00697509587053,0.17007434,2026-06-25 10:43:38.414365280,55.0,0.181945,27.14,0.0,16.64,47.7368023085546,444.07,338.0775909942008,105.99240900579917,390.3783763349641,2026-06-25 10:43:38,10.79935,76.75699,55.0,444.07,338.0775909942008,105.99240900579917,390.3783763349641,47.7368023085546,27.14,16.64,68.792,51.155,469.932,1.05824,0.68971,324.117,33.109,0.96757,0.21286,137.986,131.087,0.18194499611854553,23.851,0.02385,10.007,17.0,147.09975,128.06964,454.32825,395.55237,77.18197,1.0514,974.7136,950.8626,46318.89,77.19815,160.01053,85.501305,541.73315,0.14321040692566378,248.55499999999998
10.83475,76.83534,199.0,160.01052789879031,10.026073900429367,0.8394145,2026-06-25 10:54:33.416371558,55.0,0.18229225,27.14,0.0,16.48,44.08287345919647,482.53,376.17345534866956,106.35654465133041,434.3676914150921,2026-06-25 10:54:33,10.83475,76.83534,55.0,482.53,376.17345534866956,106.35654465133041,434.3676914150921,44.08287345919647,27.14,16.48,70.898,46.823,516.806,1.07103,0.71346,368.721,34.543,0.96183,0.2116,156.045,148.243,0.18229225277900696,27.024,0.02702,10.026,84.0,147.09975,127.498215,455.19537,394.53906,381.36972,1.0514,1294.3829,1267.3589,45051.53,75.085884,170.0366,87.91323,512.4545,0.13224862037758942,275.57899999999995
10.87674,76.90602,281.0,170.03660179921968,9.977566020484858,0.8178675,2026-06-25 11:05:29.668481404,55.0,0.1814103,27.42,0.0,18.17,33.4071420824181,582.16,484.91849082649736,97.2415091735026,502.02456299307806,2026-06-25 11:05:29,10.87674,76.90602,55.0,582.16,484.91849082649736,97.2415091735026,502.02456299307806,33.4071420824181,27.42,18.17,72.847,41.398,576.937,0.99103,0.78285,451.658,36.992,0.95203,0.20945,189.197,179.737,0.1814102977514267,32.606,0.03261,9.978,82.0,147.09975,133.59836,452.99304,411.41556,372.2895,1.0542,1303.7272,1271.1211,43780.41,72.967354,180.01418,90.10173,485.89978,0.10022142624725429,308.18499999999995
10.91431,76.98259,359.0,180.01416781970454,10.076518125332143,0.7817538,2026-06-25 11:16:22.745530016,55.0,0.18320942,27.44,0.0,18.07,26.937638637812043,645.48,558.5414650603254,86.93853493967458,578.2446745483055,2026-06-25 11:16:22,10.91431,76.98259,55.0,645.48,558.5414650603254,86.93853493967458,578.2446745483055,26.937638637812043,27.44,18.07,74.572,34.594,644.346,0.99824,0.82491,531.524,39.533,0.94187,0.20721,220.276,209.262,0.18320941925048828,38.339,0.03834,10.077,78.0,147.09975,133.23343,457.4856,414.36084,354.12903,1.0544,1292.6686,1254.3295,42526.082,70.8768,190.09068,91.92412,462.6216,0.08081291591343613,346.52399999999994
10.97995,77.04612,387.0,190.09068594503668,10.007648331644361,0.27787375,2026-06-25 11:27:22.299443676,55.0,0.18195724,27.44,0.0,18.07,27.530036379296764,645.48,556.6295605894577,88.85043941054232,576.2653253903967,2026-06-25 11:27:22,10.97995,77.04612,55.0,645.48,556.6295605894577,88.85043941054232,576.2653253903967,27.530036379296764,27.44,18.07,76.03,26.161,648.071,1.00401,0.82105,532.101,39.551,0.9418,0.2072,220.498,209.473,0.18195724487304688,38.115,0.03812,10.008,28.0,147.09975,133.23343,454.35883,411.5288,127.12324,1.0544,1047.0306,1008.91565,41517.168,69.195274,200.09833,92.36875,449.472,0.08259010913789029,384.63899999999995
